"设备ID","户型","用户标签","地面类型","使用数据","耗材状态","备注","记录日期"
"1009","80㎡两居","养宠","仿实木","宠物毛发清理:85%\n自动回充成功率:92%","胶刷缠绕:中度\n滤网更换:剩余30天","养宠家庭中毛发处理是核心场景","2025-03-12"
"1010","130㎡四居","三代同堂","通体砖","覆盖率:82%\n手动辅助清扫:3次/天\n定时清扫使用率:60%","电池衰减:16%\n边刷寿命:剩余40天","多人口家庭手动干预较多","2025-05-28"
"1001","65㎡公寓","单身","木地板","覆盖率:86%\n日均清扫:46㎡\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余50天\nHEPA滤网更换:每2个月","小户型清洁覆盖率高，低矮家具易漏扫","2025-02-19"
"1002","70㎡公寓","情侣","瓷砖","覆盖率:87%\n避障失败:3次/周（电线缠绕）","边刷磨损:中度\n尘盒清理:每天2次","拖地功能使用频率:每周3次","2025-04-07"
"1003","90㎡","1狗","短毛地毯","毛发清理:91%\n地毯增压使用:14次/月","胶刷更换:已更换\n尘盒容量:每日清理","毛发处理效率:95%","2025-06-15"
"1004","85㎡","2猫","混合地面","猫砂泼洒处理:9次/月\n自动回充成功率:87%","主刷缠绕:严重\n滤网更换:紧急","升级吸力后清洁效率提升20%","2025-07-03"
"1005","120㎡","老人","防滑砖","手动操作占比:94%\n定时清扫尝试使用:1次/周","电池衰减:26%\n水箱未激活","语音控制使用率:0%","2025-01-22"
"1006","150㎡别墅","儿童","多层","跨楼层失败:4次/周\n玩具避障率:74%","边刷更换:待更换\n集尘袋消耗:1.2个/月","机械臂配件损耗:每月检查","2025-08-11"
"1007","55㎡一居","独居","复合地板","覆盖率:91%\n日均清扫:36㎡\n沿边清扫无死角","滤网寿命:剩余75天\n尘盒清理:每4天","清洁效率稳定","2025-09-30"
"1008","100㎡三居","三口之家","大理石","覆盖率:87%\n餐桌区域漏扫:1次/天\n避障成功率:91%","主刷磨损:轻度\n水箱加水:每日","拖地覆盖率:85%","2025-10-17"
"1009","80㎡两居","养宠","仿实木","宠物毛发清理:86%\n自动回充成功率:93%","胶刷缠绕:中度\n滤网更换:剩余25天","养宠家庭中毛发处理效率提升5%","2025-11-05"
"1010","130㎡四居","三代同堂","通体砖","覆盖率:83%\n手动辅助清扫:2次/天\n定时清扫使用率:65%","电池衰减:16%\n边刷寿命:剩余35天","多人口家庭手动干预较多","2025-12-24"
"1001","65㎡公寓","单身","木地板","覆盖率:87%\n日均清扫:47㎡\n漏扫区域:沙发底部（高度不足）","主刷寿命:剩余45天\nHEPA滤网更换:每2个月","小户型清洁覆盖率高，低矮家具易漏扫","2026-01-09"
"1002","70㎡公寓","情侣","瓷砖","覆盖率:88%\n避障失败:2次/周（电线+数据线）","边刷磨损:重度\n尘盒清理:每天2次","拖地功能使用频率:每周4次","2026-01-27"
"1003","90㎡","1狗","短毛地毯","毛发清理:92%\n地毯增压使用:16次/月","胶刷更换:已更换\n尘盒容量:每日清理","毛发处理效率:96%","2026-02-14"
"1004","85㎡","2猫","混合地面","猫砂泼洒处理:7次/月\n自动回充成功率:88%","主刷缠绕:严重\n滤网更换:已更换","升级吸力后清洁效率提升22%","2026-02-21"
"1005","120㎡","老人","防滑砖","手动操作占比:93%\n定时清扫使用率:2次/周","电池衰减:27%\n水箱首次激活:使用1次","语音控制使用率:5%","2026-03-02"
"1006","150㎡别墅","儿童","多层","跨楼层失败:2次/周\n玩具避障率:78%","边刷更换:1次/季度\n集尘袋消耗:1个/月","机械臂配件损耗:每季度检查","2026-03-08"
"1007","55㎡一居","独居","复合地板","覆盖率:92%\n日均清扫:37㎡\n沿边清扫无死角","滤网寿命:剩余70天\n尘盒清理:每4天","清洁效率稳定","2026-03-15"
"1008","100㎡三居","三口之家","大理石","覆盖率:88%\n餐桌区域漏扫:0次/天\n避障成功率:92%","主刷磨损:中度\n水箱加水:每日","拖地覆盖率:86%","2026-03-20"
"1009","80㎡两居","养宠","仿实木","宠物毛发清理:88%\n自动回充成功率:94%","胶刷缠绕:轻度+\n滤网更换:剩余20天","养宠家庭中毛发处理效率提升8%","2026-03-22"
"1010","130㎡四居","三代同堂","通体砖","覆盖率:85%\n手动辅助清扫:2次/天\n定时清扫使用率:70%","电池衰减:17%\n边刷寿命:剩余40天","多人口家庭手动干预较多","2026-03-25"
"1001","65㎡公寓","单身","木地板","覆盖率:88%\n日均清扫:48㎡\n漏扫区域:无（沙发底部垫高）","主刷寿命:剩余45天\nHEPA滤网更换:每2个月","小户型清洁覆盖率高，低矮家具已优化","2026-03-26"
"1002","70㎡公寓","情侣","瓷砖","覆盖率:89%\n避障失败:1次/周（电线缠绕）","边刷磨损:中度\n尘盒清理:每3天","拖地功能使用频率:每周5次","2026-03-27"
"1003","90㎡","1狗","短毛地毯","毛发清理:93%\n地毯增压使用:17次/月","胶刷更换:剩余45天\n尘盒容量:每2天清理","毛发处理效率:97%","2026-03-28"
"1004","85㎡","2猫","混合地面","猫砂泼洒处理:6次/月\n自动回充成功率:90%","主刷缠绕:中度+\n滤网寿命:剩余60天","清洁效率稳定","2026-03-30"